STT		Mã MH	Tên MH	Số tín chỉ	BB/TC	
1		AS2013	CAD ứng dụng	3.0		
2		AS2031	Đồ án môn học-thiếtkế kt	2.0		
3		AS2033	Cảm biến &kỹthuật đolườg	3.0		
4		AS2045	Đồ án thiết kế cơ sở	1.0		
5		AS2065	Cơ sở tối ưu	3.0		
6		AS2067	Giải tích ma trận và topo tính toán	3.0		
7		AS3051	Cơ sở tin học y sinh	3.0		
8		AS3089	Thực tập kỹ thuật (nt)	1.0		
9		AS3149	ứd các pm trong tt cơhọc	3.0		
10		AS3159	Tối ưu hóa kỹ thuật	3.0		
11		AS3171	Đồ án môn học-thiếtkế kt	2.0		
12		AS4005	Đồ án chuyên ngành (vlkt	2.0		
13		AS4007	Đồ án chuyên ngành (ckt)	2.0		
14		AS4011	Đồ án chuyên ngành trong Khoa học dữ liệu	2.0		
15		AS4311	Đề cương luận văn tn	0.0		
16		AS4313	Luận văn tốt nghiệp (ckt	9.0		
17		AS4315	Đề cương luận văn tn	0.0		
18		AS4317	Luận văn tốt nghiệp (ckt	9.0		
19		AS4323	Luận văn tốt nghiệp	9.0		
20		AS4325	Đề cương luận văn tn	0.0		
21		AS4327	Luận văn tốt nghiệp	9.0		
22		AS4333	Luận văn tốt nghiệp	9.0		
23		AS4337	Đồ án tốt nghiệp (ckt)	4.0		
24		AS4341	Đề cương luận văn tn	0.0		
25		AS4343	Luận văn tốt nghiệp(ktys	9.0		
26		AS4347	Đồ án tốt nghiệp	4.0		
27		AS5009	Chuyên đề vật lý nâng cao 1	3.0		
28		AS5023	Chuyên đề những vấn đề toán học hiện đại	3.0		
29		AS5029	Mô hình hóa động lực học cơ hệ	3.0		
30		AS5031	Phương pháp PTHH ứng dụng trong cơ kỹ thuật	3.0		
31		AS5041	Động lực học máy	3.0		
32		AS5045	Tối ưu hóa kỹ thuật	3.0		
33		AS5047	Tính toán động lực học lưu chất	3.0		
34		AS5059	Thực tập đồ án	3.0		
35		AS5103	Tin học vật lý kỹ thuật	3.0		
36		AS5105	Thiết bị chẩn đoán hình ảnh y học	3.0		
37		AS5113	Triết học	3.0		
38		AS5115	Giải tích hàm nâng cao	3.0		
39		AS5117	Phương trình đạo hàm riêng	3.0		
40		AS5131	Phương trình vi phân và Lý thuyết ổn định	2.0		
41		AS5133	Giải tích đa trị	2.0		
42		AS5143	Phương pháp số nâng cao	3.0		
43		AS5155	Phương pháp tính tuổi thọ	3.0		
44		AS5159	Cơ sở laser và ứng dụng	3.0		
45		AS5163	Tin học vật lý kỹ thuật 2	3.0		
46		AS5165	Tin học y sinh học	3.0		
47		AS5167	Y học hạt nhân và kỹ thuật xạ trị	3.0		
48		AS5169	Ứng dụng laser công suất cao trong y học	3.0		
49		AS5171	Ứng dụng laser công suất thấp trong y học	3.0		
50		AS5175	Chuyên đề nâng cao về thiết bị chẩn đoán hình ảnh	3.0		
51		AS5189	Phân loại, kiểm định và quản lý trang thiết bị y tế	3.0		
52		AS5241	Giải tích thực	3.0		
53		AS5243	Tối ưu ứng dụng	3.0		
54		AS5255	Cơ học phá hủy	3.0		
55		AS5261	Thực tập tốt nghiệp	3.0		
56		AS5273	Thực tập Cơ kỹ thuật 1	3.0		
57		AS5275	Thực tập Cơ kỹ thuật 2	3.0		
58		AS5277	Thực tập 1	3.0		
59		AS5279	Thực tập 2	3.0		
60		AS5291	Thực tập 1	3.0		
61		AS5295	Phương pháp tính	3.0		
62		AS5297	Xác suất thống kê	3.0		
63		AS6041	Đề án tốt nghiệp	9.0		
64		AS6043	Chuyên đề nghiên cứu trước luận văn	15.0		
65		AS6045	Luận văn thạc sĩ nghiên cứu	15.0		
66		AS6047	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
67		AS6049	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
68		AS6051	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
69		AS6053	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
70		AS6055	Đề án tốt nghiệp	9.0		
71		AS6057	Chuyên đề nghiên cứu trước luận văn	15.0		
72		AS6059	Luận văn thạc sĩ nghiên cứu	15.0		
73		AS6061	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
74		AS6063	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
75		AS6065	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
76		AS6067	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
77		AS6069	Đề án tốt nghiệp	9.0		
78		AS6071	Chuyên đề nghiên cứu trước luận văn	15.0		
79		AS6073	Luận văn thạc sĩ nghiên cứu	15.0		
80		AS6075	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
81		AS6077	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
82		AS6079	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
83		AS6081	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
84		AS6083	Đề án tốt nghiệp	9.0		
85		AS6085	Chuyên đề nghiên cứu trước luận văn	15.0		
86		AS6087	Luận văn thạc sĩ nghiên cứu	15.0		
87		AS6089	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 1	9.0		
88		AS6091	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2	15.0		
89		AS6093	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3	15.0		
90		AS6095	Luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4	15.0		
91		AS7037	Tính chất cơ học của vật liệu	3.0		
92		AS7043	Kỹ thuật đo và xử lý số liệu	3.0		
93		AS7069	Giải tích biến phân và ứng dụng	3.0		
94		AS7071	Tối ưu không trơn	3.0		
95		AS7129	Tiểu luận tổng quan	0.0		
96		AS7131	Chuyên đề tiến sĩ - phần 1	0.0		
97		AS7133	Chuyên đề tiến sĩ - phần 2	0.0		
98		AS7135	Luận án tiến sĩ - chuẩn bị	12.0		
99		AS7137	Luận án tiến sĩ - phần 1	15.0		
100		AS7139	Luận án tiến sĩ - phần 2	15.0		
101		AS7141	Luận án tiến sĩ - phần 3	15.0		
102		AS7143	Luận án tiến sĩ - phần 4	15.0		
103		AS7145	Luận án tiến sĩ - phần 5	15.0		
104		AS7147	Tiểu luận tổng quan	0.0		
105		AS7149	Chuyên đề tiến sĩ - phần 1	0.0		
106		AS7151	Chuyên đề tiến sĩ - phần 2	0.0		
107		AS7153	Luận án tiến sĩ - chuẩn bị	12.0		
108		AS7155	Luận án tiến sĩ - phần 1	15.0		
109		AS7157	Luận án tiến sĩ - phần 2	15.0		
110		AS7159	Luận án tiến sĩ - phần 3	15.0		
111		AS7161	Luận án tiến sĩ - phần 4	15.0		
112		AS7163	Luận án tiến sĩ - phần 5	15.0		
113		AS7165	Tiểu luận tổng quan	0.0		
114		AS7167	Chuyên đề tiến sĩ - phần 1	0.0		
115		AS7169	Chuyên đề tiến sĩ - phần 2	0.0		
116		AS7171	Luận án tiến sĩ - chuẩn bị	12.0		
117		AS7173	Luận án tiến sĩ - phần 1	15.0		
118		AS7175	Luận án tiến sĩ - phần 2	15.0		
119		AS7177	Luận án tiến sĩ - phần 3	15.0		
120		AS7179	Luận án tiến sĩ - phần 4	15.0		
121		AS7181	Luận án tiến sĩ - phần 5	15.0		
122		CH1005	Hóa lý hóa keo	3.0		
123		CH2003	Hóa lý 1	3.0		
124		CH2015	Các qtrình kthuật shọc 1	3.0		
125		CH2019	Quátrình &thiết bị cơhọc	3.0		
126		CH201E	Quátrình &th/bị cơhọc(mr	0.0		
127		CH2035	Kỹ thuật thực phẩm 2	3.0		
128		CH2039	Kỹ thuật thực phẩm 3	3.0		
129		CH2041	Thí nghiệm hóa lý	2.0		
130		CH2043	Q/tr & th/bị truyềnnhiệt	3.0		
131		CH2045	Vi sinh thực phẩm	3.0		
132		CH204B	Q/tr & th/bị tr/nhiệt(mr	0.0		
133		CH2051	Q/trình &tbị truyền khối	3.0		
134		CH2053	Thi Nghiem Hoa Huu Co	2.0		
135		CH2109	Hóa lý 2	3.0		
136		CH210E	Hóa lý 2 (mr)	0.0		
137		CH2111	Thí nghiệm hóa hữu cơ cb	1.0		
138		CH2113	Hóa phân tích	3.0		
139		CH2115	Thí nghiệm hóa phân tích	1.0		
140		CH2155	Thí nghiệm Hóa phân tích	2.0		
141		CH2159	Thí nghiệm vi sinh thực phẩm	2.0		
142		CH3001	Thí nghiệm visinh t/phẩm	2.0		
143		CH3015	T/n quá trình thiết bị	2.0		
144		CH3017	Côngnghệ chếbiến th/phẩm	3.0		
145		CH3053	Thiết kế nhàmáy thựcphẩm	3.0		
146		CH3133	Mô hình hóa,mp &tưh CNHH	3.0		
147		CH3321	Thiết kế hệ thống qtcnhh	3.0		
148		CH3327	Hóa keo	3.0		
149		CH3329	Các p/pháp phân tích hđ	3.0		
150		CH332A	T/kế hệ thống qtcnhh(mr)	0.0		
151		CH3331	Cs vậtliệu &bảo vệ ănmòn	3.0		
152		CH3337	Tổng hợp hữu cơ hóa dầu	3.0		
153		CH3341	Cơsở điều khiển quátrình	3.0		
154		CH3347	Kỹ thuật phản ứng	3.0		
155		CH3349	Cơ sở tính toán tk tb hh	3.0		
156		CH3379	T/h p/tích t/phẩm A	2.0		
157		CH3389	P/triển bền vững &cnxlmt	4.0		
